Gene_ID,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank,Gene_Symbol,Gene_Description
11142,-2,-1.445215205,-2.256685239,-0.633745171,0.000481821,0.001200604,0.972359044,12.18473961,0.000481821,FALSE,1369,PKIG,cAMP-dependent protein kinase inhibitor gamma
140838,2,1.438998767,0.631963367,2.246034167,0.000474509,0.59096421,0.442046507,12.21326711,0.000474509,FALSE,1370,NANP,N-acetylneuraminic acid phosphatase
6286,2,2.356243553,0.879978877,3.83250823,0.001758394,2.50769215,0.113291734,9.78606473,0.001758394,FALSE,1371,S100P,S100 calcium binding protein P
5004,2,2.39526628,0.89057654,3.89995602,0.001808495,0.89626136,0.34378616,9.734415152,0.001808495,FALSE,1372,ORM1,orosomucoid 1
122060,-2,-1.799013774,-2.870866638,-0.72716091,0.001003182,0.002998366,0.956331791,10.82168315,0.001003182,FALSE,1373,SLAIN1,SLAIN motif family member 1
118932,2,1.559085858,0.66323306,2.454938656,0.000647256,0.268286616,0.604483447,11.63490756,0.000647256,FALSE,1374,ANKRD22,ankyrin repeat domain 22
22885,-2,-1.581435461,-2.494275277,-0.668595645,0.000685009,0.362335995,0.547211738,11.52948684,0.000685009,FALSE,1375,ABLIM3,actin binding LIM protein family member 3
11260,2,1.391816618,0.617945355,2.165687881,0.000423453,0.030234245,0.861959792,12.42575474,0.000423453,FALSE,1376,XPOT,exportin for tRNA
51435,-2,-1.689938616,-2.684706846,-0.695170386,0.000869587,0.694866215,0.404514116,11.08649406,0.000869587,FALSE,1377,SCARA3,scavenger receptor class A member 3
81544,2,1.695192259,0.696095658,2.694288859,0.000882538,0.151277083,0.697317907,11.05908359,0.000882538,FALSE,1378,GDPD5,glycerophosphodiester phosphodiesterase domain containing 5
1376,-2,-1.319750528,-2.042529514,-0.596971542,0.000345208,0.330326709,0.565466773,12.80763186,0.000345208,FALSE,1379,CPT2,carnitine palmitoyltransferase 2
79883,2,1.76411127,0.714099626,2.814122915,0.00099156,0.420022873,0.516925631,10.84326072,0.00099156,FALSE,1380,PODNL1,podocan like 1
51308,-1,-2.557946726,-4.183537469,-0.932355983,0.002041694,0,1,9.511669191,0.002041694,FALSE,1381,REEP2,receptor accessory protein 2
477,-2,-5.787148223,-9.671795108,-1.902501339,0.003501953,13.78014172,0.000205497,8.525547903,0.003501953,FALSE,1382,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
80162,2,1.586390577,0.665468759,2.507312395,0.000734793,0.730672211,0.392665386,11.39910886,0.000734793,FALSE,1383,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase
3708,-2,-1.555536449,-2.453791945,-0.657280952,0.000688471,0.719321325,0.396366617,11.52011459,0.000688471,FALSE,1384,ITPR1,"inositol 1,4,5-trisphosphate receptor type 1"
55600,-2,-3.452278223,-5.713993952,-1.190562495,0.002774424,2.981066865,0.084243726,8.950179042,0.002774424,FALSE,1385,ITLN1,intelectin 1
200916,2,1.595060775,0.667375466,2.522746084,0.000751793,0.919445486,0.337620612,11.35662523,0.000751793,FALSE,1386,RPL22L1,ribosomal protein L22 like 1
116966,-2,-2.579336814,-4.222182733,-0.936490896,0.002089372,1.917552403,0.166126733,9.469316428,0.002089372,FALSE,1387,WDR17,WD repeat domain 17
8516,-2,-1.492259041,-2.344936119,-0.639581964,0.000603342,0.943817124,0.331298105,11.76563697,0.000603342,FALSE,1388,ITGA8,integrin subunit alpha 8
23139,-2,-1.276860658,-1.970901659,-0.582819657,0.000311145,0.938004969,0.332791441,13.00208315,0.000311145,FALSE,1389,MAST2,microtubule associated serine/threonine kinase 2
100130933,-1,-2.375562271,-3.873007408,-0.878117135,0.001875268,0,1,9.667789395,0.001875268,FALSE,1390,SMIM6,small integral membrane protein 6
151742,-2,-1.460651787,-2.291003553,-0.630300021,0.000565328,0.078378343,0.779507177,11.88681062,0.000565328,FALSE,1391,PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent 1L"
863,-2,-1.674711707,-2.663153456,-0.686269959,0.000897737,0.021335848,0.883867743,11.02742554,0.000897737,FALSE,1392,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3
2918,2,3.107116248,1.086142674,5.128089823,0.00258408,2.518164814,0.11254149,9.08008505,0.00258408,FALSE,1393,GRM8,glutamate metabotropic receptor 8
54751,-2,-1.394008463,-2.176258037,-0.611758889,0.000478064,0.003226859,0.954700174,12.1993399,0.000478064,FALSE,1394,FBLIM1,filamin binding LIM protein 1
25900,-2,-1.487809061,-2.340246927,-0.635371195,0.000624284,0.459250887,0.49797428,11.70213528,0.000624284,FALSE,1395,IFFO1,intermediate filament family orphan 1
340526,-2,-2.138423589,-3.467239974,-0.809607203,0.001609883,1.628629506,0.201892712,9.948410692,0.001609883,FALSE,1396,RTL5,retrotransposon Gag like 5
57710,-2,-1.697501124,-2.705659191,-0.689343056,0.00096644,0.335718615,0.562311006,10.89078196,0.00096644,FALSE,1397,KIAA1614,KIAA1614
1875,2,1.560360705,0.652997037,2.467724373,0.000750374,0.70841292,0.399971188,11.36013313,0.000750374,FALSE,1398,E2F5,E2F transcription factor 5
54897,-2,-1.412349376,-2.211404731,-0.613294021,0.000531647,0.094721764,0.758258104,12.00125695,0.000531647,FALSE,1399,CASZ1,castor zinc finger 1
79017,2,1.388880743,0.606840426,2.17092106,0.000499846,0.300832723,0.583360849,12.11623835,0.000499846,FALSE,1400,GGCT,gamma-glutamylcyclotransferase
91298,2,1.384887172,0.60536126,2.164413084,0.000497637,0.051867201,0.819845483,12.12450047,0.000497637,FALSE,1401,RLIG1,RNA 5'-phosphate and 3'-OH ligase 1
114876,-2,-1.851537712,-2.974386802,-0.728688621,0.001229658,1.291922795,0.255693906,10.44524239,0.001229658,FALSE,1402,OSBPL1A,oxysterol binding protein like 1A
54996,-2,-1.419650438,-2.225897229,-0.613403648,0.000558241,0.65306451,0.419019163,11.91030892,0.000558241,FALSE,1403,MTARC2,mitochondrial amidoxime reducing component 2
115795,2,1.61514855,0.664668828,2.565628271,0.000866704,0.123326047,0.725454751,11.09265267,0.000866704,FALSE,1404,FANCD2OS,FANCD2 opposite strand
79783,-2,-1.764689827,-2.82570677,-0.703672885,0.001114814,0.179943557,0.671421752,10.62645258,0.001114814,FALSE,1405,SUGCT,succinyl-CoA:glutarate-CoA transferase
22999,-2,-2.521741655,-4.132043432,-0.911439878,0.002145505,1.52603838,0.216707988,9.42069237,0.002145505,FALSE,1406,RIMS1,regulating synaptic membrane exocytosis 1
