Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
PLEKHN1,3.105148593,3.67e-07,pleckstrin homology domain containing N1,Up
CCDC150,3.480432809,2.03e-06,coiled-coil domain containing 150,Up
DTNA,-3.148375413,5.36e-07,dystrobrevin alpha,Down
MPZ,-2.818860264,7.88e-08,myelin protein zero,Down
SNAP91,-4.305438529,1.79e-05,synaptosome associated protein 91,Down
CAMK2B,-4.362116606,1.99e-05,calcium/calmodulin dependent protein kinase II beta,Down
TTR,-3.232295945,9.69e-07,transthyretin,Down
MACC1,2.696737565,3.37e-08,MET transcriptional regulator MACC1,Up
DAAM2,-2.578659827,1.05e-08,dishevelled associated activator of morphogenesis 2,Down
GPER1,-2.632569247,1.9e-08,G protein-coupled estrogen receptor 1,Down
CDK1,2.730255452,5.32e-08,cyclin dependent kinase 1,Up
SHH,2.74100999,6.29e-08,sonic hedgehog signaling molecule,Up
SYNPO,-2.308778351,3.39e-10,synaptopodin,Down
UBD,2.944708334,2.81e-07,ubiquitin D,Up
NEFM,-3.909382597,1.01e-05,neurofilament medium chain,Down
GSN,-2.473380348,4.48e-09,gelsolin,Down
XRCC2,2.92573058,2.6e-07,X-ray repair cross complementing 2,Up
CAVIN2,-3.544975122,4.04e-06,caveolae associated protein 2,Down
PLK1,2.570738915,1.54e-08,polo like kinase 1,Up
CLU,-2.683790165,4.89e-08,clusterin,Down
FAM72D,2.806172212,1.42e-07,family with sequence similarity 72 member D,Up
SLC8A1,-3.557136917,4.63e-06,solute carrier family 8 member A1,Down
GPR17,-3.908740052,1.14e-05,G protein-coupled receptor 17,Down
TSPAN7,-2.509716314,1.02e-08,tetraspanin 7,Down
PKNOX2,-3.530674638,4.87e-06,PBX/knotted 1 homeobox 2,Down
C3orf70,-2.539259103,1.89e-08,chromosome 3 open reading frame 70,Down
DHRS11,-2.419871263,4.76e-09,dehydrogenase/reductase 11,Down
IQCJ-SCHIP1,-3.114847437,1.07e-06,IQCJ-SCHIP1 readthrough,Down
UGT1A8,-3.025733549,7.01e-07,UDP glucuronosyltransferase family 1 member A8,Down
IL11,3.936287198,1.39e-05,interleukin 11,Up
PDE2A,-3.167716392,1.43e-06,phosphodiesterase 2A,Down
HJURP,2.517427663,1.68e-08,Holliday junction recognition protein,Up
PLEKHS1,3.697597313,8.26e-06,pleckstrin homology domain containing S1,Up
MUSK,-3.010408155,7.32e-07,muscle associated receptor tyrosine kinase,Down
HEPHL1,4.082652334,1.97e-05,hephaestin like 1,Up
ZBTB7C,-3.011192491,7.48e-07,zinc finger and BTB domain containing 7C,Down
