Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
SNX10,1.388787229,0.012347046,sorting nexin 10,Up
TSGA10,1.605214929,0.012352549,testis specific 10,Up
DUSP2,1.329339348,0.012409897,dual specificity phosphatase 2,Up
IRAG1,-2.400162147,0.012428612,"inositol 1,4,5-triphosphate receptor associated 1",Down
BHLHE41,-1.62329244,0.012435138,basic helix-loop-helix family member e41,Down
INKA2,-1.27754178,0.012451955,inka box actin regulator 2,Down
GPX3,-1.918057839,0.01248633,glutathione peroxidase 3,Down
KCNJ13,1.602100734,0.012502506,potassium inwardly rectifying channel subfamily J member 13,Up
TRIM36,-1.271923076,0.012506665,tripartite motif containing 36,Down
CLEC4A,1.298997642,0.012512787,C-type lectin domain family 4 member A,Up
EXOSC8,1.084838054,0.012537577,exosome component 8,Up
B3GALT5,-3.569806434,0.012550968,"beta-1,3-galactosyltransferase 5",Down
ADH6,-1.990380528,0.012561894,alcohol dehydrogenase 6 (class V),Down
TIMP1,1.794334537,0.012562326,TIMP metallopeptidase inhibitor 1,Up
FRZB,-1.260838941,0.012578693,frizzled related protein,Down
PRR7,1.985759213,0.012601499,"proline rich 7, synaptic",Up
P2RX6,-1.964520879,0.012618602,purinergic receptor P2X 6,Down
EMP1,-1.336863373,0.012619097,epithelial membrane protein 1,Down
YDJC,1.104339077,0.012737739,YdjC chitooligosaccharide deacetylase homolog,Up
PHGR1,-2.234977084,0.012770718,"proline, histidine and glycine rich 1",Down
TGIF1,1.101125896,0.012800661,TGFB induced factor homeobox 1,Up
MACIR,-1.434479416,0.012808044,macrophage immunometabolism regulator,Down
SIRT6,-1.008203939,0.01283693,sirtuin 6,Down
CECR2,1.518451886,0.012843225,CECR2 histone acetyl-lysine reader,Up
NUP210,1.457781549,0.012844116,nucleoporin 210,Up
OSBPL7,-1.057093974,0.01284852,oxysterol binding protein like 7,Down
MOB3A,-1.20471149,0.012884872,MOB kinase activator 3A,Down
DENND5B,-1.222837635,0.012922006,DENN domain containing 5B,Down
STIMATE-MUSTN1,-1.132492372,0.012928002,STIMATE-MUSTN1 readthrough,Down
CLMP,-2.431471143,0.013011316,CXADR like membrane protein,Down
EDNRB,-1.141982028,0.013020727,endothelin receptor type B,Down
TRPS1,-1.384472732,0.013032425,transcriptional repressor GATA binding 1,Down
RPS6KA5,-1.140210379,0.013068936,ribosomal protein S6 kinase A5,Down
F2R,1.194544796,0.013118555,coagulation factor II thrombin receptor,Up
PODXL2,1.503938644,0.01312542,podocalyxin like 2,Up
ZNF670-ZNF695,1.552140165,0.013180139,ZNF670-ZNF695 readthrough (NMD candidate),Up
RELT,1.273898598,0.013190901,RELT TNF receptor,Up
TMEM67,1.09044215,0.01324775,transmembrane protein 67,Up
LYPD3,2.520124048,0.013264743,LY6/PLAUR domain containing 3,Up
GP2,-2.643804539,0.013270196,glycoprotein 2,Down
PPP1R3C,-2.885715676,0.013279717,protein phosphatase 1 regulatory subunit 3C,Down
HS6ST2,2.489024629,0.013283318,heparan sulfate 6-O-sulfotransferase 2,Up
CACFD1,-1.003532405,0.013299948,calcium channel flower domain containing 1,Down
ABHD6,-1.074271509,0.013307764,"abhydrolase domain containing 6, acylglycerol lipase",Down
KCNK3,-2.011859687,0.01330836,potassium two pore domain channel subfamily K member 3,Down
LUZP2,-2.124903795,0.013335774,leucine zipper protein 2,Down
ZDHHC18,-1.011690783,0.01334214,zinc finger DHHC-type palmitoyltransferase 18,Down
CENPQ,1.222508583,0.013343919,centromere protein Q,Up
ORM2,2.445848512,0.013388742,orosomucoid 2,Up
PARD6G,-1.495722492,0.013402037,par-6 family cell polarity regulator gamma,Down
CACNA1D,1.280617653,0.013450891,calcium voltage-gated channel subunit alpha1 D,Up
SLCO5A1,-1.364387693,0.013468787,solute carrier organic anion transporter family member 5A1,Down
NUP35,1.066503305,0.013502319,nucleoporin 35,Up
USP17L17,2.275084064,0.013510237,ubiquitin specific peptidase 17 like family member 17,Up
SLC1A7,2.081525498,0.013544312,solute carrier family 1 member 7,Up
STAB1,-1.169211751,0.013642436,stabilin 1,Down
HOXD4,-1.440966482,0.013686379,homeobox D4,Down
ZNF296,1.084003233,0.013764181,zinc finger protein 296,Up
LILRB4,1.144607197,0.013770698,leukocyte immunoglobulin like receptor B4,Up
VWF,-1.02779047,0.01378016,von Willebrand factor,Down
ABCD2,-1.92571784,0.013780548,ATP binding cassette subfamily D member 2,Down
C4orf19,-1.456688759,0.013799306,chromosome 4 open reading frame 19,Down
RASSF10,2.463341427,0.013800361,Ras association domain family member 10,Up
C22orf15,-1.569284487,0.013812615,chromosome 22 open reading frame 15,Down
CCBE1,-4.339665053,0.013880312,collagen and calcium binding EGF domains 1,Down
HAL,1.300159052,0.013908348,histidine ammonia-lyase,Up
EEF1AKMT4,1.80272002,0.013909104,EEF1A lysine methyltransferase 4,Up
RSL1D1,1.024112358,0.013909539,ribosomal L1 domain containing 1,Up
EBLN2,1.308623861,0.013918237,endogenous Bornavirus like nucleoprotein 2,Up
ADCY10,2.148552037,0.013938453,adenylate cyclase 10,Up
FGF13,-1.455311311,0.013943586,fibroblast growth factor 13,Down
SPRED3,1.982508142,0.013958003,sprouty related EVH1 domain containing 3,Up
PPP1R3D,1.177525993,0.013976804,protein phosphatase 1 regulatory subunit 3D,Up
STON2,-1.109892008,0.01400482,stonin 2,Down
NIPAL4,-2.599696786,0.014006483,NIPA like domain containing 4,Down
ZNF300,1.353867184,0.014022863,zinc finger protein 300,Up
CBR4,-1.056246759,0.014030495,carbonyl reductase 4,Down
MLXIP,-1.020219222,0.014042798,MLX interacting protein,Down
CCNE2,1.114349511,0.01407309,cyclin E2,Up
DNMT3B,1.699300264,0.014089723,DNA methyltransferase 3 beta,Up
BMP6,-1.467976648,0.014090484,bone morphogenetic protein 6,Down
NUDT5,1.048595969,0.01411561,nudix hydrolase 5,Up
ITIH4,-1.67777442,0.014127451,inter-alpha-trypsin inhibitor heavy chain 4,Down
URB2,1.068151442,0.014180402,URB2 ribosome biogenesis homolog,Up
SLC29A4,-1.511144711,0.014203423,solute carrier family 29 member 4,Down
ACTR3C,1.062845216,0.014250708,actin related protein 3C,Up
KCNAB2,1.066371045,0.014318564,potassium voltage-gated channel subfamily A regulatory beta subunit 2,Up
ZNF84,1.016704208,0.014320738,zinc finger protein 84,Up
FAM117A,-1.087775786,0.014359117,family with sequence similarity 117 member A,Down
HES6,1.215583945,0.01439289,hes family bHLH transcription factor 6,Up
MSH2,1.017766178,0.014405473,mutS homolog 2,Up
TEAD4,1.568139829,0.014449754,TEA domain transcription factor 4,Up
GPR162,-1.397423473,0.014461801,G protein-coupled receptor 162,Down
PDE3B,-1.024497124,0.014473361,phosphodiesterase 3B,Down
FIGN,-1.878368621,0.014489724,"fidgetin, microtubule severing factor",Down
TMEM267,1.140936408,0.014575798,transmembrane protein 267,Up
ATOSA,-1.001339901,0.014639986,atos homolog A,Down
TAS2R5,2.27307743,0.014695453,taste 2 receptor member 5,Up
ZNF695,2.127341798,0.014702856,zinc finger protein 695,Up
SLC25A27,1.536996219,0.014726485,solute carrier family 25 member 27,Up
CCDC122,1.277900447,0.014787941,coiled-coil domain containing 122,Up
SASS6,1.054953502,0.014814989,SAS-6 centriolar assembly protein,Up
ABO,-1.317583125,0.014854948,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",Down
C4BPB,1.357459255,0.014864183,complement component 4 binding protein beta,Up
ERV3-1,1.127812468,0.014869825,"endogenous retrovirus group 3 member 1, envelope",Up
BMERB1,-1.952486524,0.014949448,bMERB domain containing 1,Down
SPEG,-3.983464231,0.01495525,striated muscle enriched protein kinase,Down
CASKIN1,-2.482879248,0.014985822,CASK interacting protein 1,Down
CCDC15,1.358299862,0.014986337,coiled-coil domain containing 15,Up
OTUB2,1.792020925,0.015025942,"OTU deubiquitinase, ubiquitin aldehyde binding 2",Up
CEP250,1.000106238,0.015114615,centrosomal protein 250,Up
RBKS,-1.179699613,0.01515636,ribokinase,Down
TLCD4,-1.824354286,0.01518175,TLC domain containing 4,Down
HAUS5,1.00553976,0.01519129,HAUS augmin like complex subunit 5,Up
LTC4S,-1.245654223,0.015197042,leukotriene C4 synthase,Down
PRICKLE1,-1.756489108,0.015225782,prickle planar cell polarity protein 1,Down
GPRASP2,-1.798078481,0.015308926,G protein-coupled receptor associated sorting protein 2,Down
CDA,-1.118522766,0.015450367,cytidine deaminase,Down
KIF26B,2.831205684,0.015515337,kinesin family member 26B,Up
POPDC2,-3.674976902,0.015525833,popeye domain containing 2,Down
RAG1,1.723292248,0.015560285,recombination activating 1,Up
HCAR3,1.695608593,0.015565032,hydroxycarboxylic acid receptor 3,Up
ADAMTSL4,-1.522228131,0.01558784,ADAMTS like 4,Down
MPP7,-1.088716371,0.01559295,MAGUK p55 scaffold protein 7,Down
NSG1,-1.541620625,0.01567068,neuronal vesicle trafficking associated 1,Down
NEK5,1.982523154,0.015697547,NIMA related kinase 5,Up
DTYMK,1.048090791,0.015713566,deoxythymidylate kinase,Up
DLEC1,-1.354507917,0.01572108,DLEC1 cilia and flagella associated protein,Down
SLC25A15,1.086931796,0.015725053,solute carrier family 25 member 15,Up
BHLHE22,2.180877772,0.015812875,basic helix-loop-helix family member e22,Up
MYBPC1,-2.280522537,0.015816166,myosin binding protein C1,Down
ZFPM2,-1.857158952,0.015925995,"zinc finger protein, FOG family member 2",Down
SUV39H1,1.065705006,0.015927948,SUV39H1 histone lysine methyltransferase,Up
NR4A2,-1.564460504,0.01597085,nuclear receptor subfamily 4 group A member 2,Down
PNPLA2,-1.012149886,0.016023607,patatin like phospholipase domain containing 2,Down
FOXJ1,2.239765872,0.016066354,forkhead box J1,Up
DDIT4,1.45393316,0.016079845,DNA damage inducible transcript 4,Up
KLF8,-1.260094983,0.016090953,KLF transcription factor 8,Down
VSTM4,-1.501831275,0.016099861,V-set and transmembrane domain containing 4,Down
ICA1,1.108244206,0.016157302,islet cell autoantigen 1,Up
ALKBH2,1.094154101,0.016199916,"alkB homolog 2, alpha-ketoglutarate dependent dioxygenase",Up
LTK,-2.082161765,0.016210036,leukocyte receptor tyrosine kinase,Down
LPCAT2,1.077751886,0.01622781,lysophosphatidylcholine acyltransferase 2,Up
JAM2,-2.738633657,0.016229505,junctional adhesion molecule 2,Down
HIC1,-1.14241375,0.016362901,HIC ZBTB transcriptional repressor 1,Down
YY2,1.367663922,0.016445987,YY2 transcription factor,Up
CEP15,1.267159305,0.016451058,centrosomal protein 15,Up
KIAA0513,-1.647622944,0.01650093,KIAA0513,Down
NPC1L1,2.705009482,0.01650655,NPC1 like intracellular cholesterol transporter 1,Up
NOD2,1.743128834,0.016549049,nucleotide binding oligomerization domain containing 2,Up
L1CAM,-2.074683535,0.016569064,L1 cell adhesion molecule,Down
ZNF280C,1.020475183,0.016578309,zinc finger protein 280C,Up
GABRP,2.689859515,0.016616829,gamma-aminobutyric acid type A receptor subunit pi,Up
SQLE,1.764003575,0.016622075,squalene epoxidase,Up
HSPB1,-1.076348614,0.016632259,heat shock protein family B (small) member 1,Down
MARCHF2,-1.516187325,0.016641068,membrane associated ring-CH-type finger 2,Down
MAP2K6,-1.000454769,0.016741929,mitogen-activated protein kinase kinase 6,Down
GGACT,1.952100684,0.016753556,gamma-glutamylamine cyclotransferase,Up
CCNE1,1.112953266,0.016763166,cyclin E1,Up
TNN,-2.468076224,0.016808607,tenascin N,Down
TNFRSF11B,1.46587537,0.016842159,TNF receptor superfamily member 11b,Up
MARCKSL1,1.017028784,0.016886199,MARCKS like 1,Up
GPR84,2.38202763,0.016898613,G protein-coupled receptor 84,Up
H2BC18,1.491560155,0.01695011,H2B clustered histone 18,Up
L3MBTL1,1.00120178,0.016957889,L3MBTL histone methyl-lysine binding protein 1,Up
KLK10,2.035982444,0.016962569,kallikrein related peptidase 10,Up
CCDC77,1.139090105,0.016976839,coiled-coil domain containing 77,Up
RBP2,1.852535665,0.016986982,retinol binding protein 2,Up
PPP1R13L,1.015036132,0.016996219,protein phosphatase 1 regulatory subunit 13 like,Up
MAK,1.624222281,0.017022423,male germ cell associated kinase,Up
FLT3LG,-1.067492917,0.017187569,fms related receptor tyrosine kinase 3 ligand,Down
GIMAP8,-1.132116257,0.017217523,"GTPase, IMAP family member 8",Down
PRSS12,-1.45437433,0.017241261,serine protease 12,Down
PHF7,-1.019067812,0.017276943,PHD finger protein 7,Down
PCDH18,-1.064598022,0.017329656,protocadherin 18,Down
SNCG,-2.345775182,0.017333689,synuclein gamma,Down
COLEC12,-2.112180612,0.017337614,collectin subfamily member 12,Down
ATP2B4,-2.537804755,0.017338563,ATPase plasma membrane Ca2+ transporting 4,Down
STMN1,1.356363112,0.017383125,stathmin 1,Up
POC1B,1.023286237,0.017395683,POC1 centriolar protein B,Up
GPBAR1,-1.187775971,0.017417664,G protein-coupled bile acid receptor 1,Down
NECTIN4,2.152452172,0.017420236,nectin cell adhesion molecule 4,Up
PIGZ,-1.591732186,0.01742955,phosphatidylinositol glycan anchor biosynthesis class Z,Down
BID,1.095555844,0.0174345,BH3 interacting domain death agonist,Up
ZNF662,-1.214821812,0.017451471,zinc finger protein 662,Down
ATAD3C,1.460099448,0.017460245,ATPase family AAA domain containing 3C,Up
CNNM2,-1.0434265,0.017503205,cyclin and CBS domain divalent metal cation transport mediator 2,Down
EML5,-1.947546453,0.017504267,EMAP like 5,Down
SLC4A8,1.731730644,0.017518028,solute carrier family 4 member 8,Up
ERICH5,-1.484326909,0.017547772,glutamate rich 5,Down
SPNS2,1.015510774,0.017556537,"SPNS lysolipid transporter 2, sphingosine-1-phosphate",Up
RGS22,-1.986980101,0.017560327,regulator of G protein signaling 22,Down
OGT,1.02706308,0.01766324,O-linked N-acetylglucosamine (GlcNAc) transferase,Up
DUSP14,1.097906963,0.017692588,dual specificity phosphatase 14,Up
CD163L1,-1.674082304,0.017725726,CD163 molecule like 1,Down
AGR3,-1.268912239,0.017743532,"anterior gradient 3, protein disulphide isomerase family member",Down
POP1,1.131852292,0.017767482,"POP1 homolog, ribonuclease P/MRP subunit",Up
FGFR4,1.570900297,0.017771131,fibroblast growth factor receptor 4,Up
MSX1,3.239221094,0.017883295,msh homeobox 1,Up
KLF6,-1.024131412,0.017887014,KLF transcription factor 6,Down
JCHAIN,-1.202530197,0.017888058,joining chain of multimeric IgA and IgM,Down
ENGASE,1.101792495,0.017888481,endo-beta-N-acetylglucosaminidase,Up
RHOB,-1.157775848,0.01796044,ras homolog family member B,Down
AFAP1L2,-1.078892446,0.018004226,actin filament associated protein 1 like 2,Down
RSPO3,-1.342829275,0.018085241,R-spondin 3,Down
GP1BA,-1.358178746,0.018104337,glycoprotein Ib platelet subunit alpha,Down
SEMA4G,-1.036055792,0.018122981,semaphorin 4G,Down
CELA3A,-2.258089018,0.018129881,chymotrypsin like elastase 3A,Down
OSR2,-1.715168697,0.018192536,odd-skipped related transciption factor 2,Down
MFAP2,2.148179606,0.018223215,microfibril associated protein 2,Up
RBMS3,-2.238221674,0.018244384,RNA binding motif single stranded interacting protein 3,Down
SAMD10,1.072993042,0.018272011,sterile alpha motif domain containing 10,Up
LANCL3,-1.280701743,0.018321033,LanC like family member 3,Down
WDR54,1.055372215,0.018387762,WD repeat domain 54,Up
CFAP91,-1.816424208,0.018449033,cilia and flagella associated protein 91,Down
CHRDL1,-3.221130918,0.018457643,chordin like 1,Down
ROR1,-2.594907389,0.01850467,receptor tyrosine kinase like orphan receptor 1,Down
ZNF630,1.810572178,0.018698517,zinc finger protein 630,Up
STS,-1.387843161,0.018762509,steroid sulfatase,Down
DSG4,1.717806896,0.018782569,desmoglein 4,Up
LZTS3,1.183681759,0.018792225,leucine zipper tumor suppressor family member 3,Up
MS4A2,-1.402189195,0.018808528,membrane spanning 4-domains A2,Down
NXF3,-2.132450866,0.018822384,nuclear RNA export factor 3,Down
COL5A2,1.379944883,0.018948616,collagen type V alpha 2 chain,Up
FGF10,-3.129228532,0.018951214,fibroblast growth factor 10,Down
LRRC8E,2.962485471,0.018952765,leucine rich repeat containing 8 VRAC subunit E,Up
CDC25C,1.435530714,0.018970371,cell division cycle 25C,Up
PKHD1,2.452170556,0.018973419,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,Up
SEC14L2,1.465679175,0.018984684,SEC14 like lipid binding 2,Up
SERPINB9,1.018693064,0.019084909,serpin family B member 9,Up
SDK1,-1.387359222,0.019216498,sidekick cell adhesion molecule 1,Down
GPM6A,-5.287390532,0.019484688,glycoprotein M6A,Down
PPP1R12B,-1.789890983,0.019507711,protein phosphatase 1 regulatory subunit 12B,Down
FBLN5,-2.088524728,0.019532729,fibulin 5,Down
CPXM1,2.059262881,0.019618517,"carboxypeptidase X, M14 family member 1",Up
MTHFD1L,1.314820224,0.019686296,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,Up
IQCN,-1.418824873,0.019694414,IQ motif containing N,Down
HSPG2,-1.374990377,0.019707093,heparan sulfate proteoglycan 2,Down
SLC16A4,1.135005878,0.019757177,solute carrier family 16 member 4,Up
CBX6,-2.120854023,0.019778046,chromobox 6,Down
LRRN3,1.76266893,0.019827371,leucine rich repeat neuronal 3,Up
CP,-1.498842035,0.019879354,ceruloplasmin,Down
PTX3,-2.238361925,0.019923689,pentraxin 3,Down
PTPRS,-2.21843301,0.019935833,protein tyrosine phosphatase receptor type S,Down
OAF,-1.065532335,0.019951491,out at first homolog,Down
PLIN5,-1.75623341,0.019973587,perilipin 5,Down
RPL39,1.074350636,0.019992677,ribosomal protein L39,Up
GRIN3A,-1.955783361,0.020019409,glutamate ionotropic receptor NMDA type subunit 3A,Down
ANKRD33B,-1.414181286,0.020058923,ankyrin repeat domain 33B,Down
TMEM17,1.805641532,0.020071641,transmembrane protein 17,Up
NEXN,-2.859923097,0.020089328,nexilin F-actin binding protein,Down
TBC1D9,-1.048206263,0.020100696,TBC1 domain family member 9,Down
MTSS2,-1.341471792,0.020124342,MTSS I-BAR domain containing 2,Down
RHOF,-1.293799627,0.020139779,"ras homolog family member F, filopodia associated",Down
CHCHD7,1.014393308,0.020147948,coiled-coil-helix-coiled-coil-helix domain containing 7,Up
DCUN1D5,1.003031872,0.020186748,defective in cullin neddylation 1 domain containing 5,Up
SORCS2,-1.198500328,0.020194167,sortilin related VPS10 domain containing receptor 2,Down
CADM1,-1.338618362,0.020251147,cell adhesion molecule 1,Down
H3C3,1.269063166,0.020257209,H3 clustered histone 3,Up
EPHX1,-1.041014953,0.020258171,epoxide hydrolase 1,Down
SDC3,-1.093021064,0.020304494,syndecan 3,Down
IL4I1,1.929052247,0.020395855,interleukin 4 induced 1,Up
GYPC,-1.97123133,0.020428576,glycophorin C (Gerbich blood group),Down
ESYT3,-1.791376124,0.020439822,extended synaptotagmin 3,Down
DGLUCY,-1.016013169,0.020442807,D-glutamate cyclase,Down
GSTO2,1.156533083,0.020498308,glutathione S-transferase omega 2,Up
APLN,2.230489991,0.020558048,apelin,Up
ECHDC3,-1.607337542,0.020632897,enoyl-CoA hydratase domain containing 3,Down
TMEM232,-1.745073552,0.020708227,transmembrane protein 232,Down
MAF,-1.024695678,0.020713454,MAF bZIP transcription factor,Down
ETFBKMT,-1.037078181,0.020732936,electron transfer flavoprotein subunit beta lysine methyltransferase,Down
CFAP54,-1.728363951,0.020783172,cilia and flagella associated protein 54,Down
SEZ6,-2.342172778,0.020806143,seizure related 6 homolog,Down
GVQW3,2.233834483,0.020831197,GVQW motif containing 3,Up
PEAR1,-1.448051089,0.020858172,platelet endothelial aggregation receptor 1,Down
KCNQ3,-2.474080503,0.020865211,potassium voltage-gated channel subfamily Q member 3,Down
ARMCX1,-2.168871045,0.020917384,armadillo repeat containing X-linked 1,Down
UGT2A3,-1.771361466,0.02093118,UDP glucuronosyltransferase family 2 member A3,Down
KLHL17,1.108472093,0.02094878,kelch like family member 17,Up
FSD1L,1.080786886,0.021056045,fibronectin type III and SPRY domain containing 1 like,Up
CCDC9B,-1.647797386,0.021069649,coiled-coil domain containing 9B,Down
TAS2R31,1.595160194,0.021098942,taste 2 receptor member 31,Up
ARSA,-1.076512758,0.021118252,arylsulfatase A,Down
SLC25A14,1.570414289,0.021167698,solute carrier family 25 member 14,Up
CD1D,-1.136211751,0.021172356,CD1d molecule,Down
PPP2R3B,1.021544056,0.021213705,protein phosphatase 2 regulatory subunit B''beta,Up
MCM8,1.123088321,0.021240202,minichromosome maintenance 8 homologous recombination repair factor,Up
NNAT,-1.513967776,0.0212682,neuronatin,Down
LATS2,-1.014364538,0.02127067,large tumor suppressor kinase 2,Down
CWH43,-3.036796939,0.021369109,cell wall biogenesis 43 C-terminal homolog,Down
PROB1,-1.143297858,0.021427947,proline rich basic protein 1,Down
IGFBP6,-2.478542947,0.02148961,insulin like growth factor binding protein 6,Down
DRD2,2.190047711,0.021499439,dopamine receptor D2,Up
NOS2,1.492660471,0.021591941,nitric oxide synthase 2,Up
CSRNP1,-1.119503,0.021603444,cysteine and serine rich nuclear protein 1,Down
ID4,-1.079886663,0.021799871,inhibitor of DNA binding 4,Down
CENPJ,1.203305881,0.021799906,centromere protein J,Up
TSPAN5,1.200241935,0.021835501,tetraspanin 5,Up
C1orf210,-1.167767107,0.021901282,chromosome 1 open reading frame 210,Down
OLFML2A,-2.464067031,0.021972269,olfactomedin like 2A,Down
HCAR2,1.615518955,0.021983835,hydroxycarboxylic acid receptor 2,Up
RNF180,-2.291284511,0.021992052,ring finger protein 180,Down
CEACAM8,-2.003114807,0.022022131,CEA cell adhesion molecule 8,Down
MORC4,1.013093443,0.022084922,MORC family CW-type zinc finger 4,Up
RIMBP2,-1.643412724,0.022136765,RIMS binding protein 2,Down
NPY4R2,-2.170025657,0.022150197,neuropeptide Y receptor Y4-2,Down
PTBP2,-1.133940002,0.02215848,polypyrimidine tract binding protein 2,Down
PIWIL1,2.004985325,0.022198326,piwi like RNA-mediated gene silencing 1,Up
FAM149A,-1.591260859,0.022205498,family with sequence similarity 149 member A,Down
DAPP1,1.140385112,0.022266229,dual adaptor of phosphotyrosine and 3-phosphoinositides 1,Up
ZNF366,-1.061128372,0.022280988,zinc finger protein 366,Down
IKZF4,-1.370204194,0.022315121,IKAROS family zinc finger 4,Down
SIGLEC1,-1.714911601,0.022430584,sialic acid binding Ig like lectin 1,Down
POGLUT2,1.102812271,0.022457657,protein O-glucosyltransferase 2,Up
PCDHA10,-1.879338589,0.022458742,protocadherin alpha 10,Down
CNKSR3,-1.118788327,0.022491286,CNKSR family member 3,Down
LMTK3,1.994644265,0.022528589,lemur tyrosine kinase 3,Up
FFAR2,1.607350122,0.022582465,free fatty acid receptor 2,Up
MIF,1.242561838,0.02262762,macrophage migration inhibitory factor,Up
ARHGEF38,1.3655745,0.022724086,Rho guanine nucleotide exchange factor 38,Up
TACC1,-1.082675213,0.022784321,transforming acidic coiled-coil containing protein 1,Down
KCNMB1,-3.920747447,0.022846378,potassium calcium-activated channel subfamily M regulatory beta subunit 1,Down
OR2A1,1.270129358,0.022902374,olfactory receptor family 2 subfamily A member 1,Up
EYA1,2.507489438,0.022910875,EYA transcriptional coactivator and phosphatase 1,Up
CTHRC1,3.654054524,0.022923812,collagen triple helix repeat containing 1,Up
BATF,1.928532085,0.022970018,basic leucine zipper ATF-like transcription factor,Up
ZGRF1,1.258275258,0.02303716,zinc finger GRF-type containing 1,Up
PROC,1.184115425,0.023063294,"protein C, inactivator of coagulation factors Va and VIIIa",Up
PRDM16,-1.969696464,0.023105644,PR/SET domain 16,Down
EFR3B,-1.346211841,0.023173213,EFR3 homolog B,Down
LYPD6B,1.879764524,0.023179636,LY6/PLAUR domain containing 6B,Up
DLL1,-1.04180726,0.023355687,delta like canonical Notch ligand 1,Down
SHISA2,1.873583296,0.023453507,shisa family member 2,Up
PODN,-1.934204974,0.023486638,podocan,Down
EXD3,-1.214391509,0.023578052,exonuclease 3'-5' domain containing 3,Down
RIMS3,-1.726764924,0.023585977,regulating synaptic membrane exocytosis 3,Down
BUB1B-PAK6,1.168275666,0.023610086,BUB1B-PAK6 readthrough,Up
SEMA3E,-4.329665999,0.023626323,semaphorin 3E,Down
APOB,-1.482142463,0.023683099,apolipoprotein B,Down
COMP,4.88836317,0.023691486,cartilage oligomeric matrix protein,Up
DNAH2,1.93090724,0.023704708,dynein axonemal heavy chain 2,Up
CACNA1G,-1.994504338,0.023705399,calcium voltage-gated channel subunit alpha1 G,Down
SLC7A2,-1.33646879,0.023708496,solute carrier family 7 member 2,Down
KCNJ12,-2.205280516,0.023724173,potassium inwardly rectifying channel subfamily J member 12,Down
TPM2,-3.430658275,0.023850078,tropomyosin 2,Down
SLAMF8,1.117036426,0.02390918,SLAM family member 8,Up
RBM38,-1.06628531,0.024026396,RNA binding motif protein 38,Down
TMEM198,1.272998114,0.024041255,transmembrane protein 198,Up
GAS2L1,-1.025531404,0.024069162,growth arrest specific 2 like 1,Down
PLCH1,1.46556939,0.024088726,phospholipase C eta 1,Up
H4C13,1.383274951,0.024137911,H4 clustered histone 13,Up
LIAT1,-1.123760929,0.024146154,ligand of ATE1,Down
TLE4,-1.023292458,0.024301461,"TLE family member 4, transcriptional corepressor",Down
STAR,-2.060094047,0.024342738,steroidogenic acute regulatory protein,Down
H3C4,1.365989096,0.024539371,H3 clustered histone 4,Up
C2orf74,-1.791943873,0.024584496,chromosome 2 open reading frame 74,Down
SPACA9,-1.633357571,0.024612934,sperm acrosome associated 9,Down
CCL4,1.209977065,0.024626429,C-C motif chemokine ligand 4,Up
CAMKMT,1.019852322,0.024653672,calmodulin-lysine N-methyltransferase,Up
PAX6,-2.404857493,0.024665714,paired box 6,Down
GSTT2,-2.197946971,0.024730978,glutathione S-transferase theta 2 (gene/pseudogene),Down
LGALS9B,-2.952376416,0.024733153,galectin 9B,Down
KLHDC8B,-1.759499066,0.024779,kelch domain containing 8B,Down
COL27A1,1.105865064,0.024790976,collagen type XXVII alpha 1 chain,Up
TRPC6,-1.083797969,0.024826749,transient receptor potential cation channel subfamily C member 6,Down
CLDN20,1.969732219,0.024833027,claudin 20,Up
AQP11,-1.229621139,0.024856197,aquaporin 11,Down
CARMIL2,1.019088106,0.024952958,capping protein regulator and myosin 1 linker 2,Up
ABHD8,-1.164046489,0.025122841,abhydrolase domain containing 8,Down
TMPRSS2,-1.183780953,0.025208479,transmembrane serine protease 2,Down
NFASC,-1.639874451,0.025305407,neurofascin,Down
NMNAT2,-1.337260658,0.025322719,nicotinamide nucleotide adenylyltransferase 2,Down
SLC6A16,-1.807689474,0.025349175,solute carrier family 6 member 16,Down
ADGRL2,-1.224122204,0.025702343,adhesion G protein-coupled receptor L2,Down
ARRDC4,-1.508846834,0.025734255,arrestin domain containing 4,Down
CD302,-1.041726846,0.025813487,CD302 molecule,Down
SLC18A2,-1.059483881,0.025918114,solute carrier family 18 member A2,Down
CYP2D7,1.032163635,0.025951331,cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene),Up
GAREM2,-1.933783026,0.025990691,GRB2 associated regulator of MAPK1 subtype 2,Down
PCDH20,-1.49845659,0.026042965,protocadherin 20,Down
CNTNAP2,-2.075865405,0.026083129,contactin associated protein 2,Down
MFSD4A,-2.93378158,0.026183955,major facilitator superfamily domain containing 4A,Down
TPSG1,-1.772163625,0.026277596,tryptase gamma 1,Down
H4C4,1.233658228,0.026398308,H4 clustered histone 4,Up
TMEM158,1.443409407,0.02640041,transmembrane protein 158,Up
POLR3G,1.097519975,0.026483003,RNA polymerase III subunit G,Up
NLRX1,-1.14367735,0.026490545,NLR family member X1,Down
IFRD1,1.262259029,0.026588974,interferon related developmental regulator 1,Up
C3orf85,-1.68522618,0.026643169,chromosome 3 open reading frame 85,Down
LCN12,1.305221747,0.026679333,lipocalin 12,Up
