Gene_ID,metap,metafc,idx,Gene_Symbol,Gene_Description
6949,0.00396678630496758,0.851096455885749,2.04396022149144,TCOF1,treacle ribosome biogenesis factor 1
29887,0.0393677139779447,1.45452323502515,2.04340122582967,SNX10,sorting nexin 10
401647,0.0203213676311659,1.20758194488753,2.04328548839449,GOLGA7B,golgin A7 family member B
7019,0.00117612349040488,0.697123371893867,2.042255735667,TFAM,"transcription factor A, mitochondrial"
1645,0.0154325302201674,-1.12693889068089,-2.04152064426392,AKR1C1,aldo-keto reductase family 1 member C1
2052,0.0109160049978144,-1.04034409180266,-2.04108881131931,EPHX1,epoxide hydrolase 1
56902,0.00780494328127289,0.968261361486259,2.0407369340379,PNO1,partner of NOB1 homolog
10919,0.000295322637786266,0.578116727033322,2.04058049674424,EHMT2,euchromatic histone lysine methyltransferase 2
9540,0.00756859829152383,-0.961943257804533,-2.04026678260925,TP53I3,tumor protein p53 inducible protein 3
410,0.0126992774626856,-1.07590914137801,-2.04016149499041,ARSA,arylsulfatase A
26503,0.00459566236707374,-0.872704449909262,-2.04007920276722,SLC17A5,solute carrier family 17 member 5
1192,0.00176802338693266,0.740609413920458,2.03853629509687,CLIC1,chloride intracellular channel 1
347404,0.0175812399413031,-1.16132618717567,-2.03806997164172,LANCL3,LanC like family member 3
9937,0.00460064306504281,0.871832221024098,2.03763010286406,DCLRE1A,DNA cross-link repair 1A
6916,0.00502063199865393,0.88601402548251,2.03716031469423,TBXAS1,thromboxane A synthase 1
254251,2.36822967393102e-05,0.440365381440348,2.03694361953639,LCORL,ligand dependent nuclear receptor corepressor like
64403,0.0260086896986967,1.28427810421997,2.03542864256689,CDH24,cadherin 24
6741,0.00453985643661378,0.868522596165091,2.03491186114064,SSB,small RNA binding exonuclease protection factor La
23169,0.00754927970583118,-0.95706547809633,-2.03098337135065,SLC35D1,solute carrier family 35 member D1
6120,0.00226045792946202,0.765953167519519,2.02656162617208,RPE,ribulose-5-phosphate-3-epimerase
7691,0.0520285295750707,-1.57818278477831,-2.02600548231525,ZNF132,zinc finger protein 132
3608,0.00395106049859771,0.842048770512169,2.02368429124365,ILF2,interleukin enhancer binding factor 2
253832,0.00173678467560841,0.733131031227128,2.02362787723265,ZDHHC20,zinc finger DHHC-type palmitoyltransferase 20
89848,0.00143846451187077,0.711985093282465,2.02353343741819,FCHSD1,FCH and double SH3 domains 1
26164,0.00726023511308683,0.94558288990679,2.02264843295095,MTG2,mitochondrial ribosome associated GTPase 2
22899,0.00210998783266527,-0.755148459252154,-2.02056587244736,ARHGEF15,Rho guanine nucleotide exchange factor 15
3075,0.00496936415698236,-0.876600485290984,-2.01942381636128,CFH,complement factor H
9989,0.000878744675412206,-0.660016193883526,-2.01710010443459,PPP4R1,protein phosphatase 4 regulatory subunit 1
199746,0.00547087840965564,-0.891614829621893,-2.01678186666929,U2AF1L4,U2 small nuclear RNA auxiliary factor 1 like 4
5866,0.00578789205871543,-0.900783673735587,-2.0154850731449,RAB3IL1,RAB3A interacting protein like 1
10044,0.00726430235654933,-0.942176043338493,-2.01513185727246,SH2D3C,SH2 domain containing 3C
222962,0.0424924831553002,-1.46871011735489,-2.01461188054024,SLC29A4,solute carrier family 29 member 4
622,0.00226642495340331,-0.761683633225695,-2.014393214404,BDH1,3-hydroxybutyrate dehydrogenase 1
11145,0.000166687063711205,0.532980392178455,2.01365220899462,PLAAT3,phospholipase A and acyltransferase 3
28514,0.0180151582943682,-1.15402140090374,-2.0130309837112,DLL1,delta like canonical Notch ligand 1
4116,0.00172798185297742,0.728001902272232,2.01107673390199,MAGOH,"mago homolog, exon junction complex subunit"
79710,0.0111512501731191,1.02869093924251,2.00870056200588,MORC4,MORC family CW-type zinc finger 4
83862,0.00488435182543673,-0.868209655044818,-2.00660013012272,TMEM120A,transmembrane protein 120A
23522,0.004216586546119,-0.844851638306291,-2.00655557437664,KAT6B,lysine acetyltransferase 6B
84932,0.000207885640895412,-0.544807523557395,-2.0060769194242,RAB2B,"RAB2B, member RAS oncogene family"
84085,0.0052056450631701,-0.878233085969921,-2.00546759998635,FBXO30,F-box protein 30
1287,0.0264050044718947,-1.26897091246638,-2.00283424536384,COL4A5,collagen type IV alpha 5 chain
253782,0.00276359543154536,0.78194496561004,2.00062616062777,CERS6,ceramide synthase 6
9672,0.0156831646432886,-1.10809813402419,-1.99963654782047,SDC3,syndecan 3
90007,0.00123570411146661,-0.687134330295402,-1.99824538820515,MIDN,midnolin
10807,0.00911731572841319,0.978209034672742,1.99567653793723,ENTR1,endosome associated trafficking regulator 1
55096,0.0323898626332917,1.33942920631576,1.99520154867967,EBLN2,endogenous Bornavirus like nucleoprotein 2
57124,0.000149461665946752,-0.52046512508043,-1.99102381638611,CD248,CD248 molecule
4953,0.00541772922005778,0.877883012162032,1.98944329912732,ODC1,ornithine decarboxylase 1
10346,0.00249028133052081,-0.762723136203977,-1.98594157655037,TRIM22,tripartite motif containing 22
7074,0.00659703957334483,-0.909654052549324,-1.98363793814115,TIAM1,TIAM Rac1 associated GEF 1
55254,0.00974278083781375,0.982862158371356,1.97684743336585,TMEM39A,transmembrane protein 39A
51439,0.00418710179507193,-0.83119415682814,-1.97665158710187,FAM8A1,family with sequence similarity 8 member A1
10171,0.00768513046465042,0.934421703609005,1.97569336605616,RCL1,RNA terminal phosphate cyclase like 1
3512,0.0300968309738934,-1.2970322503637,-1.97340763054375,JCHAIN,joining chain of multimeric IgA and IgM
2678,0.0193220316777962,-1.15042139185293,-1.97176153513828,GGT1,gamma-glutamyltransferase 1
7057,0.00301838225365924,-0.782110066741237,-1.97109393829493,THBS1,thrombospondin 1
79899,0.00683242884929386,-0.909905406803843,-1.97033180835423,PRR5L,proline rich 5 like
51315,0.00491809400461524,-0.853227445308207,-1.96942229774436,KRCC1,lysine rich coiled-coil 1
2313,0.00308305974634148,-0.783936072600821,-1.96847763543174,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
5581,0.00660215694643892,-0.902521623107836,-1.96778067081094,PRKCE,protein kinase C epsilon
11279,0.0243333934181813,-1.21825253077177,-1.96601267195098,KLF8,KLF transcription factor 8
912,0.0174160084578132,-1.11750809703637,-1.9657541524959,CD1D,CD1d molecule
1672,0.0264598474621747,-1.24437885886712,-1.96289897053769,DEFB1,defensin beta 1
23293,0.00160874507196079,-0.702472314462554,-1.96236538133999,SMG6,SMG6 nonsense mediated mRNA decay factor
715,0.00080435022112716,-0.634108024099349,-1.96228203886032,C1R,complement C1r
100188893,0.0060741059996894,0.88459422406115,1.96071869607543,TOMM6,translocase of outer mitochondrial membrane 6
55320,0.00259673176756715,0.757504541673834,1.95858322140261,MIS18BP1,MIS18 binding protein 1
9122,0.0185507963843364,1.12947247601324,1.95583682851593,SLC16A4,solute carrier family 16 member 4
130399,0.0490056320752139,-1.49203348564119,-1.95419683325967,ACVR1C,activin A receptor type 1C
60386,0.0039222244402799,0.811936953617245,1.95389993838946,SLC25A19,solute carrier family 25 member 19
207,0.000335048024208938,-0.561306373361037,-1.95047955327984,AKT1,AKT serine/threonine kinase 1
389114,0.0266541860495245,-1.23875289814921,-1.95008764236603,ZNF662,zinc finger protein 662
134266,0.00459345044066824,0.833144643594661,1.94777634039453,GRPEL2,"GrpE like 2, mitochondrial"
716,0.000878154470131112,-0.636391855297317,-1.94508657510319,C1S,complement C1s
192111,0.00302727137389217,0.771942604393527,1.94448377797919,PGAM5,"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"
55303,0.00614071806109967,-0.878751183724084,-1.94360503298474,GIMAP4,"GTPase, IMAP family member 4"
388341,0.0109585167133982,-0.991454565362147,-1.94349705258101,LRRC75A,leucine rich repeat containing 75A
3704,0.0105602194198163,0.983320179152092,1.94336227669154,ITPA,inosine triphosphatase
57136,0.00504592870261738,0.845975829073342,1.94325629908354,APMAP,adipocyte plasma membrane associated protein
8565,0.00335811353576233,0.784741651129376,1.94137599993878,YARS1,tyrosyl-tRNA synthetase 1
115704,0.00238186017974502,-0.739598895645044,-1.94002983441449,EVI5L,ecotropic viral integration site 5 like
51747,0.000424206045292444,0.573945686895956,1.93558771944471,LUC7L3,LUC7 like 3 pre-mRNA splicing factor
23595,0.000424377590860492,0.57390185872576,1.93533914102469,ORC3,origin recognition complex subunit 3
6001,0.0140754014013479,-1.04334323030216,-1.93179090156029,RGS10,regulator of G protein signaling 10
103910,0.000856214646775307,-0.629582000089567,-1.93119074856611,MYL12B,myosin light chain 12B
55226,0.00278191797531262,0.754622065631219,1.92855416775731,NAT10,N-acetyltransferase 10
10753,0.0528827466370455,-1.51043144637005,-1.92834667616849,CAPN9,calpain 9
89849,0.0119461589819105,-1.00254602701323,-1.92766713858491,ATG16L2,autophagy related 16 like 2
27245,0.00936193649327888,-0.949988176145711,-1.92717860749806,AHDC1,AT-hook DNA binding motif containing 1
22984,0.00389105002660333,0.799573382402963,1.92691842850032,PDCD11,programmed cell death 11
56674,0.00241794325142098,-0.734221190281516,-1.92112931606589,TMEM9B,TMEM9 domain family member B
8705,0.0101502084551593,-0.963496113574194,-1.92075362694552,B3GALT4,"beta-1,3-galactosyltransferase 4"
552,0.0507968981343528,-1.48089356780014,-1.91651737612473,AVPR1A,arginine vasopressin receptor 1A
51704,0.00530974785283498,-0.841890699077828,-1.91523912638852,GPRC5B,G protein-coupled receptor class C group 5 member B
6035,0.00533720985398102,-0.842278004182879,-1.9142331930651,RNASE1,"ribonuclease A family member 1, pancreatic"
84515,0.0185195836757039,1.10466268105079,1.91368314172352,MCM8,minichromosome maintenance 8 homologous recombination repair factor
7105,0.0114204607921713,0.985067807468387,1.91331333080836,TSPAN6,tetraspanin 6
11232,0.00519479028975674,0.837257895968863,1.91265871300312,POLG2,"DNA polymerase gamma 2, accessory subunit"
10483,0.00589205475955425,0.85693365428433,1.91073344106379,SEC23B,"SEC23 homolog B, COPII coat complex component"
51678,0.0238943667781576,1.17794488229362,1.91027848595108,PALS2,"protein associated with LIN7 2, MAGUK p55 family member"
167465,0.0161165786266269,-1.06550043178849,-1.91015155103455,ZNF366,zinc finger protein 366
79814,0.0075728786533045,0.900651423755397,1.9100466017366,AGMAT,agmatinase (putative)
10555,0.00218459159095287,-0.716947397872102,-1.90753157050678,AGPAT2,1-acylglycerol-3-phosphate O-acyltransferase 2
54718,0.0257826410840119,1.20048431707643,1.90717653777417,,
89866,0.0137779586040882,1.02474869578046,1.90686787183876,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor"
102725201,0.017895108004607,1.09128996538031,1.90677349919631,,
1528,0.00167202889245413,-0.686306809641826,-1.90570670406388,CYB5A,cytochrome b5 type A
6895,0.00631908822000801,0.866392392605637,1.90549628048968,TARBP2,TARBP2 subunit of RISC loading complex
1786,0.00340026843552115,0.771575431706961,1.90462376533034,DNMT1,DNA methyltransferase 1
51067,0.00343322298672405,0.771881374364974,1.90214571810931,YARS2,tyrosyl-tRNA synthetase 2
29796,0.00600687533646385,-0.855799070317493,-1.90103044677565,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X"
5150,0.00650639542792836,0.869289955889687,1.90084118019107,PDE7A,phosphodiesterase 7A
91975,0.041122648014783,1.37014946282939,1.89891607410002,ZNF300,zinc finger protein 300
26152,0.00551210306942073,0.839618089884304,1.89643082926005,ZNF337,zinc finger protein 337
56478,0.00293281398651712,-0.748681531766251,-1.89619730602085,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
729970,0.0490792259065714,-1.44836212591077,-1.89605418406959,,
80022,0.00524040786729255,-0.831333194890913,-1.89596750613928,MYO15B,myosin XVB
9936,0.0138247818349721,-1.01967456943796,-1.89592346109948,CD302,CD302 molecule
55500,0.000607318801094167,-0.589067590657844,-1.89478495935483,ETNK1,ethanolamine kinase 1
11073,0.00337767699234471,0.766169907868058,1.8934984306872,TOPBP1,DNA topoisomerase II binding protein 1
23508,0.0504179938110382,1.45870672368823,1.89254716613977,TTC9,tetratricopeptide repeat domain 9
8985,0.00323344494347017,0.759730281548978,1.89198255322924,PLOD3,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
60481,0.00346605174674985,0.768899472153937,1.8916195374124,ELOVL5,ELOVL fatty acid elongase 5
51444,0.00360188782502234,-0.774040829530891,-1.89134540385676,RNF138,ring finger protein 138
7091,0.0145380079383376,-1.0274646512085,-1.88796126030965,TLE4,"TLE family member 4, transcriptional corepressor"
7150,0.000922185004196144,0.621996903611183,1.88787377118527,TOP1,DNA topoisomerase I
4758,0.00613062728100196,0.85324424245544,1.88779869404728,NEU1,neuraminidase 1
54207,0.0417716838072313,-1.3687756371721,-1.88770314391737,KCNK10,potassium two pore domain channel subfamily K member 10
725,0.0408833439361543,1.35849344118111,1.88620509478245,C4BPB,complement component 4 binding protein beta
101927730,0.0236421146937761,1.15850458757578,1.88409185926481,,
4729,0.00472218713896571,-0.809935975060738,-1.88379509997591,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2
3033,0.00695976988156176,-0.871979164277892,-1.88121231328718,HADH,hydroxyacyl-CoA dehydrogenase
4253,0.000701183765467369,-0.59600234871536,-1.87989162427083,MIA2,MIA SH3 domain ER export factor 2
