Gene_ID,Gene_Symbol,Gene_Description,log2FoldChange,adjusted.P.Value,Regulation
80332,ADAM33,ADAM metallopeptidase domain 33,-3.33784330520394,1.77024252628307e-09,DOWN
51316,PLAC8,placenta associated 8,-3.4073119515604,3.4599004265959e-09,DOWN
10529,NEBL,nebulette,3.1523909551031,3.25558020623264e-10,UP
4751,NEK2,NIMA related kinase 2,3.05700033268003,9.9488262859473e-11,UP
11251,PTGDR2,prostaglandin D2 receptor 2,-4.06588040013957,2.26823186259487e-07,DOWN
7153,TOP2A,DNA topoisomerase II alpha,2.77389427307725,6.6908978089007e-13,UP
563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",3.08818986542749,1.7504762937005e-10,UP
4499,MT1M,metallothionein 1M,-3.96982594639853,1.72741521198828e-07,DOWN
8647,ABCB11,ATP binding cassette subfamily B member 11,-4.19911495661714,4.2891883704122e-07,DOWN
140893,RBBP8NL,RBBP8 N-terminal like,3.14721386121563,4.77888514782922e-10,UP
340024,SLC6A19,solute carrier family 6 member 19,-3.69813448831259,5.20454560600029e-08,DOWN
9455,HOMER2,homer scaffold protein 2,-4.68711391078278,2.06221720288309e-06,DOWN
11240,PADI2,peptidyl arginine deiminase 2,-3.27402085412098,2.48597442176185e-09,DOWN
1261,CNGA3,cyclic nucleotide gated channel subunit alpha 3,-4.99765233675873,4.18171302366946e-06,DOWN
140803,TRPM6,transient receptor potential cation channel subfamily M member 6,-3.31143407502456,4.42466668178666e-09,DOWN
1113,CHGA,chromogranin A,-4.36202599505821,1.01023009093179e-06,DOWN
7166,TPH1,tryptophan hydroxylase 1,-3.84628622977398,1.47760609546521e-07,DOWN
28513,CDH19,cadherin 19,-3.49218028142602,1.98572106597878e-08,DOWN
79148,MMP28,matrix metallopeptidase 28,-3.2609076746148,3.32018115964422e-09,DOWN
248,ALPI,"alkaline phosphatase, intestinal",-3.37697747515047,9.12943521705453e-09,DOWN
3872,KRT17,keratin 17,3.77900650995446,1.33293301497735e-07,UP
22974,TPX2,TPX2 microtubule nucleation factor,2.80691392498728,1.3285733854879e-11,UP
64220,STRA6,signaling receptor and transporter of retinol STRA6,4.42043987411687,1.50992922464824e-06,UP
290,ANPEP,"alanyl aminopeptidase, membrane",-3.43638272793872,2.06073136057487e-08,DOWN
121268,RHEBL1,RHEB like 1,4.52617156147769,2.2077217851441e-06,UP
6900,CNTN2,contactin 2,-4.35888158629434,1.43813744292944e-06,DOWN
4619,MYH1,myosin heavy chain 1,-3.67697860091323,1.08822210843854e-07,DOWN
1996,ELAVL4,ELAV like RNA binding protein 4,-4.88015689392034,5.42352072025482e-06,DOWN
23676,SMPX,small muscle protein X-linked,-4.97013918391141,6.51801271178514e-06,DOWN
9603,NFE2L3,NFE2 like bZIP transcription factor 3,2.88244260507858,1.69198021462541e-10,UP
5593,PRKG2,protein kinase cGMP-dependent 2,-4.077184189223,7.97034195755055e-07,DOWN
773,CACNA1A,calcium voltage-gated channel subunit alpha1 A,-4.0100287564738,6.50868810891513e-07,DOWN
7161,TP73,tumor protein p73,3.60736308735797,1.13111822843467e-07,UP
43849,KLK12,kallikrein related peptidase 12,4.5063617434741,2.94040422305588e-06,UP
10216,PRG4,proteoglycan 4,-3.99676102373757,7.43292530042248e-07,DOWN
