Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
MAPT,20,0.0329980129825081,0.28716375648891,0.0168296536561292,-3.35677094
AGT,20,0.0175631600146264,0.271409455842997,0.000235206749702167,1.558063841
UTP14A,20,0.000171458568520578,0.210044874007594,0.000601853898762605,1.420029822
GCG,20,0.0137310273743511,0.267061663375027,9.2037374956226e-05,-4.194948703
VCL,19,0.0115859005719829,0.256102693602694,0.0006331244649337,-2.71310204
GINS1,19,0.000118988053917114,0.246505975288637,0.135217377275848,2.211291256
DBF4,19,2.83036769469396e-05,0.24408343361412,0.125328460812333,1.655258257
SKP2,19,0.00117834794802484,0.268653421633554,0.12952985224727,1.052900399
UTP15,19,0.000184220747290948,0.214185146075326,0.000442828441085789,1.019426904
AR,19,0.0336075266481376,0.302510564255531,0.0123234915648987,-2.313252718
H2AC12,19,2.15781114678485e-06,0.218335127377108,0.0169834338257868,1.694810727
RPS19,19,0.00383973905347769,0.219042476601872,0.000322633996199573,1.111889485
UBE2S,18,0.00133426297750863,0.254655785729232,0.158006105555872,1.467976185
DDX10,18,2.19357738423088e-05,0.213060224089636,0.00055019218846759,1.028866071
TPM1,18,0.00375364785065558,0.225036982248521,4.90058889306367e-05,-2.302817718
CXCL9,18,0.00248201387766138,0.246057420137485,0.000210456628028379,2.084294683
DMD,18,0.0129799385056467,0.24902803355842,0.000577873575959976,-3.713205752
CAMK2B,18,0.00554699011925474,0.272076905879723,0.000427767804048382,-4.362116606
H2AC19,18,9.98595044106158e-06,0.230143721633888,0.0290871239131162,1.215141752
NCAM1,18,0.0157340586626778,0.268357221609702,0.000454719058573342,-3.842575965
CHTF18,17,0.000104574248898752,0.241181133571145,0.0783189252755099,1.530781999
ADCY6,17,0.00534410044281398,0.263135135135135,0.000276817905379703,-1.137143322
MMP1,17,0.00351331134818081,0.255887300252313,0.000342198742959596,6.064486072
CAV1,17,0.0197384325665009,0.27627695800227,0.000274896615734711,-2.766349815
