Symbol,Module,Degree,Log2FC
LMNB1,6,12,1.327098304
ITGA2,6,12,2.354863766
TNNT3,6,12,-3.459060924
MYH11,6,11,-5.516053241
CLU,6,10,-2.683790165
MYH2,6,10,-4.102223515
MYH3,6,10,-2.990888208
CKM,6,9,-3.205397284
TNNI2,6,9,2.744684382
LDB3,6,9,-6.806002141
MYH1,6,8,-3.676978601
TTR,6,8,-3.232295945
MYLK,6,8,-3.857644275
GSN,6,8,-2.473380348
CNN1,6,7,-5.10810072
SCIN,6,7,-2.352464962
MB,6,7,-3.261169885
SORBS1,6,7,-4.119064385
ITGA8,6,7,-1.492259041
SGCA,6,6,-4.235448466
SYNM,6,6,-5.12888941
CLCN1,6,6,3.139263325
LMOD1,6,6,-4.486674821
RBM20,6,6,-6.320882648
APOC2,6,6,3.916777889
ACTG2,6,6,-5.716551465
DTNA,6,6,-3.148375413
MYOT,6,5,-3.972587763
TMOD1,6,5,-3.981247816
ORM1,6,5,2.39526628
PLA2G7,6,5,1.715096889
LRP8,6,5,2.540144271
SNTG2,6,5,-3.629798726
SNTB1,6,5,2.019161109
MYOCD,6,5,-4.281275259
SYNE1,6,4,-2.199350669
TF,6,4,-2.537643012
APOC1,6,4,2.24280227
CRYAB,6,4,-3.19297264
PGM5,6,4,-3.907980869
CREB3L3,6,3,-4.124885112
FERMT1,6,3,2.012961138
TNC,6,3,-2.437974314
CAPN2,6,3,-1.25805716
CKB,6,3,-1.853292679
SORBS2,6,3,-3.497775852
ASB9,6,3,1.891043268
PLA2G4E,6,3,4.245316751
TNXB,6,3,-4.081154905
CKMT2,6,3,3.29196963
SMTN,6,3,-2.384729191
SPART,6,3,-1.785163986
TMPO,6,2,1.313681644
STAC,6,2,-3.163658034
TENM1,6,2,-3.468282666
FBLIM1,6,2,-1.394008463
SUN2,6,2,-1.17565194
RELN,6,2,-2.640931873
TREM2,6,2,2.348645704
SPAG4,6,2,1.529804177
EYA4,6,2,-2.902104081
SLC6A8,6,1,-1.55703966
PDCD4,6,1,-1.65484507
PLS3,6,1,1.126218655
TCF21,6,1,-2.418782629
CNN2,6,1,1.132334135
LIMA1,6,1,-1.328371826
TNS2,6,1,-1.913691139
MMRN1,6,1,-2.890679403
STRA6,6,1,4.420439874
AZGP1,6,1,3.088189865
ANO5,6,1,-3.492806941
PAFAH1B3,6,1,1.528490495
KY,6,1,-4.320662747
PALLD,6,1,-2.677082518
PNPLA7,6,1,-1.877158868
IL1B,7,53,2.145074979
CXCL8,7,36,3.504749254
CD44,7,36,1.482534645
IL1A,7,31,5.615830605
BCL2,7,31,-1.590440105
MMP9,7,29,2.316968591
FGF2,7,28,-2.376299919
CXCL10,7,25,2.463229669
CXCL12,7,25,-2.378401968
KIT,7,24,-1.57471626
ABL1,7,21,-1.14069153
CXCL1,7,21,3.062670999
MET,7,20,1.939425581
AGT,7,20,1.558063841
CXCL9,7,18,2.084294683
NCAM1,7,18,-3.842575965
MMP1,7,17,6.064486072
ACAN,7,17,2.400942087
FGFR2,7,17,-2.601869965
KITLG,7,17,-1.592080518
CD80,7,16,3.051485656
CXCL5,7,16,4.850697432
SHH,7,16,2.74100999
CCL11,7,16,-1.969146717
CCL20,7,16,2.639175948
FGFR1,7,16,-3.394263329
GZMB,7,15,2.032281884
MMP3,7,15,4.681982722
CSF1,7,15,-1.279576094
CCL3,7,15,1.849548119
CCL22,7,14,1.619195773
LIF,7,14,1.486288736
FOXP3,7,14,2.548248257
FGF9,7,14,-1.723249823
CCL13,7,13,-1.768888723
NTRK2,7,13,-3.013557953
CXCL11,7,13,3.639728714
FCGR3A,7,13,1.313006243
IL6R,7,13,-2.165669575
TEK,7,13,-1.409624317
PLAU,7,12,2.414419882
BMP2,7,12,-2.135544364
CXCL6,7,11,3.291540408
IL11,7,11,3.936287198
A2M,7,11,-1.370935157
ACKR2,7,11,-3.258566803
CTLA4,7,11,2.089372044
PGF,7,11,1.627696413
SOX9,7,10,2.616562704
SHC4,7,10,-3.8791806
MMP7,7,9,6.917609315
