ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:2001222,regulation of neuron migration,35,-0.574841634428729,-1.49667564464601,0.0498404327685465,0.1856857316807,0.112311729077438,1532,"tags=26%, list=9%, signal=23%",63923/23060/5649/153090/815/57556/816/285313/340533,0.321775918075361
GO:1902305,regulation of sodium ion transmembrane transport,34,-0.579169415322077,-1.49605370048737,0.0467584500198144,0.179875382034042,0.108797348034511,2487,"tags=47%, list=14%, signal=40%",65268/23327/483/130497/53826/5581/493/2258/6331/7871/817/65267/11261/4842/1756/5348,0.321775918075361
GO:0043534,blood vessel endothelial cell migration,112,-0.483894419801777,-1.49596404609024,0.00674964887717869,0.047603287977331,0.0287927754820644,3834,"tags=38%, list=22%, signal=30%",10519/375056/79812/3164/54345/23616/1003/1500/9353/9982/1647/4627/284/506/57608/2624/207/3162/90627/10000/6722/57381/5578/493/3315/407004/85377/9734/25/7049/94/5025/2549/2822/22915/498/84830/11252/4208/9314/4223/2247/2260,0.407017918923954
GO:0150117,positive regulation of cell-substrate junction organization,30,-0.589988451970319,-1.49536289101018,0.0309133273920991,0.138002415179526,0.0834705484658735,2984,"tags=37%, list=17%, signal=30%",4088/10979/382/10982/6093/5295/25/7010/1845/58480/6422,0.352487857583619
GO:0010560,positive regulation of glycoprotein biosynthetic process,15,-0.689691740354166,-1.49479554873777,0.0487804878048781,0.18403832305332,0.111315296504168,1413,"tags=27%, list=8%, signal=25%",8434/6934/11261/123264,0.282013350011725
GO:0048639,positive regulation of developmental growth,96,-0.491160841700903,-1.49462621915876,0.0168844454265852,0.0894921282393759,0.0541291760568203,2297,"tags=30%, list=13%, signal=26%",23327/9699/9362/23499/7431/79594/5048/1954/4131/28514/5467/3897/23414/3643/4092/5071/57699/7049/22999/6665/6387/4137/144402/4208/1946/2263/2247/32/9423,0.352487857583619
GO:0001838,embryonic epithelial tube formation,42,0.531958627745047,1.49458175397202,0.0352359198178043,0.149542770172602,0.0904507144253588,766,"tags=19%, list=4%, signal=18%",57822/6662/2348/9620/6491/153572/79977/655,0.321775918075361
GO:0060080,inhibitory postsynaptic potential,12,-0.724099808883026,-1.49453610472601,0.0495068429488918,0.185351097358972,0.112109326022869,3773,"tags=67%, list=22%, signal=52%",57555/2562/10497/9699/388135/54413/6785/22999,0.321775918075361
GO:0002448,mast cell mediated immunity,42,-0.559303192488942,-1.49437065407466,0.0302317401108835,0.136274668996759,0.082425523845849,3383,"tags=33%, list=19%, signal=27%",2242/5293/6284/387695/140/2624/8013/2205/6571/2770/3815/2776/1113/5729,0.352487857583619
GO:0002244,hematopoietic progenitor cell differentiation,61,0.50058923599034,1.49420065617045,0.0386327674316574,0.158999483776552,0.0961705930968988,1518,"tags=18%, list=9%, signal=17%",3624/6659/6469/54517/55795/5591/4602/5008/652/5134/10538,0.321775918075361
GO:1901343,negative regulation of vasculature development,92,-0.492089901740191,-1.49402523378391,0.0169124926781244,0.0895577981911415,0.054168896426094,1926,"tags=24%, list=11%, signal=21%",4881/30832/22905/9723/3339/10516/493/5140/23166/7122/55333/7010/10365/153090/5797/10218/11126/6833/9510/57556/9314/577,0.352487857583619
GO:0071333,cellular response to glucose stimulus,103,-0.483905729273687,-1.49397882068847,0.00932391899356644,0.0592497252369552,0.0358371051372343,2066,"tags=24%, list=12%, signal=22%",222546/6722/54795/26137/4089/5532/5467/572/5563/9854/8622/5566/5105/5071/2822/6717/111/9971/2641/6833/1946/9607/1215/2852/3745,0.380730400722792
GO:0001767,establishment of lymphocyte polarity,12,-0.723557825331312,-1.49341745509198,0.0495068429488918,0.185351097358972,0.112109326022869,3402,"tags=50%, list=20%, signal=40%",2319/6366/9750/10758/25/2934,0.321775918075361
GO:1904753,negative regulation of vascular associated smooth muscle cell migration,8,-0.779617102799143,-1.49319916865594,0.0498084291187739,0.1856857316807,0.112311729077438,1172,"tags=50%, list=7%, signal=47%",7168/5592/4208/93649,0.282013350011725
GO:1901888,regulation of cell junction assembly,233,-0.437818521304052,-1.49316276359443,0.00147729548203047,0.0159331061346332,0.00963711472797551,2519,"tags=26%, list=15%, signal=23%",9379/22883/382/6093/1400/90102/9294/29904/7082/23499/1793/57463/3360/285025/10611/5578/10395/57622/22998/4131/26047/5802/79834/151306/144165/57524/54413/6622/26050/5566/4916/7122/387804/25/10672/7010/7414/4641/94/395/145581/1845/5906/22849/7094/57502/857/257194/94030/2045/4208/6422/55118/1946/6548/2260/4593/9378/9423/22871/11170,0.45505986738723
GO:0061387,regulation of extent of cell growth,74,-0.509630905017974,-1.49296447806509,0.0123387531632231,0.072238238140862,0.0436931871806884,2151,"tags=26%, list=12%, signal=23%",23499/7431/5048/10439/1954/4131/56963/5802/3897/2258/80031/1630/25/6387/4133/4137/2045/1946/9423,0.380730400722792
GO:0002526,acute inflammatory response,79,0.465857914761921,1.49182937691753,0.0394822998984115,0.161501015172486,0.0976836405124214,1244,"tags=19%, list=7%, signal=18%",5068/145741/3552/3500/8600/1773/7784/3553/5004/3557/2214/5008/388125/2161/5005,0.321775918075361
GO:0060765,regulation of androgen receptor signaling pathway,29,-0.603733942475537,-1.49182678966759,0.0252118797990029,0.120001467746813,0.0725827031107084,3119,"tags=34%, list=18%, signal=28%",3275/9604/9063/2033/9611/51341/27086/6934/6943/6422,0.352487857583619
GO:0051646,mitochondrion localization,46,-0.549310255004231,-1.49154991659772,0.0218533515420306,0.10885932234242,0.0658433936081807,2121,"tags=30%, list=12%, signal=27%",79594/487/23095/51309/440503/4534/22906/5310/5071/66008/120892/9927/4137/4747,0.352487857583619
GO:1904738,vascular associated smooth muscle cell migration,24,-0.633143983090166,-1.49071264417286,0.024692360323029,0.118579815342128,0.071722818841346,2181,"tags=33%, list=13%, signal=29%",4921/8013/7168/2254/5592/9510/4208/93649,0.352487857583619
GO:0001910,regulation of leukocyte mediated cytotoxicity,71,0.484261985859938,1.49040448705393,0.0129229877550522,0.0744177379786454,0.0450114543037993,357,"tags=7%, list=2%, signal=7%",154064/80328/563/79465/1773,0.380730400722792
GO:0006904,vesicle docking involved in exocytosis,34,-0.576897905606608,-1.49018615909858,0.0479201358842943,0.182375406576593,0.110309484032083,2539,"tags=29%, list=15%, signal=25%",6616/10497/9699/10490/9751/9783/54843/23233/22999/3745,0.321775918075361
