Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
83892,KCTD10,potassium channel tetramerization domain containing 10,protein_coding,773.838266567194,-1.04804373265761,0.234073838983433,-4.47740651928121,7.55552937722028e-06,7.13087866094818e-05
89910,UBE3B,ubiquitin protein ligase E3B,protein_coding,1171.05754553306,-0.329425210610995,0.175617599576513,-1.87580977877717,0.0606814047410483,0.134472640704587
326625,MMAB,metabolism of cobalamin associated B,protein_coding,1263.76222939866,0.240327266535771,0.358925273415546,0.669574656163965,0.503128974576054,0.642133194796805
4598,MVK,mevalonate kinase,protein_coding,865.669511605115,0.191881640775923,0.38414868407972,0.499498368022792,0.61742833618872,0.737549030063227
84915,FAM222A,family with sequence similarity 222 member A,protein_coding,61.5078625322146,0.351678675593147,0.361617341479577,0.972516069484485,0.330793874450523,0.479746157112729
59341,TRPV4,transient receptor potential cation channel subfamily V member 4,protein_coding,87.3236229944036,1.19801384164068,0.542843659469874,2.20692241816111,0.0273194799238952,0.0713586178917137
51228,GLTP,glycolipid transfer protein,protein_coding,1141.05878872768,-1.0648496040885,0.349309106200808,-3.04844501670778,0.0023002900308451,0.00945662175069537
84260,TCHP,trichoplein keratin filament binding,protein_coding,428.975637918498,0.21826117688816,0.244995953920421,0.890876658963336,0.372995343481916,0.522185541385256
9815,GIT2,GIT ArfGAP 2,protein_coding,896.487324458178,-0.279782566569346,0.188746813011416,-1.48231677189921,0.138256027666054,0.253530262974585
88455,ANKRD13A,ankyrin repeat domain 13A,protein_coding,1345.57016210792,-0.380474536386998,0.205569841937345,-1.85082856902211,0.0641942196409547,0.140500237916046
28981,IFT81,intraflagellar transport 81,protein_coding,194.349403438039,0.438771696314706,0.345060908216335,1.27157752694379,0.203523265695893,0.338015010963328
488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,protein_coding,32447.7542777108,-0.388786798868044,0.311129700590273,-1.2495971877016,0.211446730977009,0.347742091481392
51434,ANAPC7,anaphase promoting complex subunit 7,protein_coding,611.775844143726,0.488813499307286,0.177234888682333,2.75799817373097,0.00581565228204875,0.0203395204103229
10094,ARPC3,actin related protein 2/3 complex subunit 3,protein_coding,5464.32959705135,0.399033856422954,0.189922308530505,2.10103731104797,0.0356376911164101,0.087948542017357
51184,GPN3,GPN-loop GTPase 3,protein_coding,159.645849273185,0.789258310352221,0.278670237271389,2.8322303740804,0.00462245319289526,0.0169344238590827
29902,FAM216A,family with sequence similarity 216 member A,protein_coding,22.9865216218904,0.608021065563763,0.548773719012173,1.10796316313806,0.267877725076116,0.412069578144101
51699,VPS29,VPS29 retromer complex component,protein_coding,543.329814860155,0.168715114077814,0.162173169954516,1.0403392504761,0.298182314727484,0.445202204779997
144715,RAD9B,RAD9 checkpoint clamp component B,protein_coding,38.1112744815831,1.2366931912611,0.469936227210491,2.63161918501585,0.00849790549408135,0.0278164884496772
160760,PPTC7,protein phosphatase targeting COQ7,protein_coding,248.540271282632,-0.489920656380702,0.337433735356421,-1.45190182559314,0.146528904879669,0.264794803372263
79600,TCTN1,tectonic family member 1,protein_coding,434.128840937709,0.560499542911525,0.226036685575452,2.47968395698507,0.0131498879530197,0.0396042006005067
84329,HVCN1,hydrogen voltage gated channel 1,protein_coding,50.3458190625594,-0.491966743298359,0.370479462917084,-1.32791906850843,0.184204844583864,0.314232903336202
5501,PPP1CC,protein phosphatase 1 catalytic subunit gamma,protein_coding,1590.90252723546,-0.0488126121255715,0.237885131988635,-0.205194043518044,0.837420523019089,0.898071916078799
4633,MYL2,myosin light chain 2,protein_coding,27748.5082906208,-1.53954395127076,0.76480579349464,-2.01298677960596,0.0441160201805949,0.104387026160277
144717,PHETA1,PH domain containing endocytic trafficking adaptor 1,protein_coding,114.986429175429,0.761633924026059,0.310192233857724,2.45536103387875,0.0140743157667829,0.0418735402827416
10019,SH2B3,SH2B adaptor protein 3,protein_coding,263.970711534408,-1.48103554878555,0.252121859435149,-5.87428457057887,4.24673331691603e-09,9.55974102610637e-08
6311,ATXN2,ataxin 2,protein_coding,3126.81772189122,-0.19807867707943,0.248884028355849,-0.795867369987366,0.426109128738699,0.571783942849143
8315,BRAP,BRCA1 associated protein,protein_coding,373.757696833592,-0.0685498480990269,0.221722868932976,-0.309169047058239,0.757192938093572,0.842348067501184
80724,ACAD10,acyl-CoA dehydrogenase family member 10,protein_coding,583.747310835987,0.166652082888418,0.287299457567178,0.580064035970031,0.561871435309525,0.692128549093106
